reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-05-09,wk inc rsv hosp,0,2026-05-09,04,quantile,0.975,57.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,04,quantile,0.99,78.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,05,quantile,0.01,2.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,05,quantile,0.025,3.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,05,quantile,0.05,4.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,05,quantile,0.1,5.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,05,quantile,0.15,5.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,05,quantile,0.2,6.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,05,quantile,0.25,6.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,05,quantile,0.3,7.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,05,quantile,0.35,7.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,05,quantile,0.4,8.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,05,quantile,0.45,8.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,05,quantile,0.5,8.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,05,quantile,0.55,9.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,05,quantile,0.6,9.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,05,quantile,0.65,10.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,05,quantile,0.7,10.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,05,quantile,0.75,11.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,05,quantile,0.8,13.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,05,quantile,0.85,14.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,05,quantile,0.9,18.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,05,quantile,0.95,23.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,05,quantile,0.975,28.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,05,quantile,0.99,48.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,06,quantile,0.01,11.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,06,quantile,0.025,50.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,06,quantile,0.05,56.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,06,quantile,0.1,67.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,06,quantile,0.15,70.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,06,quantile,0.2,73.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,06,quantile,0.25,73.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,06,quantile,0.3,73.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,06,quantile,0.35,79.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,06,quantile,0.4,83.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,06,quantile,0.45,83.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,06,quantile,0.5,86.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,06,quantile,0.55,89.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,06,quantile,0.6,94.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,06,quantile,0.65,100.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,06,quantile,0.7,104.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,06,quantile,0.75,114.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,06,quantile,0.8,121.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,06,quantile,0.85,139.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,06,quantile,0.9,150.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,06,quantile,0.95,174.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,06,quantile,0.975,214.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,06,quantile,0.99,362.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,08,quantile,0.01,4.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,08,quantile,0.025,17.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,08,quantile,0.05,22.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,08,quantile,0.1,24.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,08,quantile,0.15,28.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,08,quantile,0.2,29.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,08,quantile,0.25,30.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,08,quantile,0.3,32.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,08,quantile,0.35,33.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,08,quantile,0.4,33.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,08,quantile,0.45,33.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,08,quantile,0.5,34.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,08,quantile,0.55,34.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,08,quantile,0.6,35.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,08,quantile,0.65,37.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,08,quantile,0.7,38.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,08,quantile,0.75,41.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,08,quantile,0.8,42.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,08,quantile,0.85,45.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,08,quantile,0.9,48.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,08,quantile,0.95,58.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,08,quantile,0.975,67.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,08,quantile,0.99,84.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,09,quantile,0.01,3.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,09,quantile,0.025,7.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,09,quantile,0.05,10.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,09,quantile,0.1,12.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,09,quantile,0.15,13.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,09,quantile,0.2,14.0
