output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.01,4.129068076507696e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.025,5.465909457312227e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.05,6.594446391743218e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.1,8.136085784394417e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.15,9.25412953929425e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.2,9.981265188964833e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.25,0.0011184030958916171,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.3,0.0011676200507047022,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.35,0.001259500726956451,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.4,0.0013250287787786473,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.45,0.0014122367121217234,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.5,0.0015073828490729919,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.55,0.0015694166848305223,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.6,0.001661940623790179,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.65,0.0017293991399839437,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.7,0.0018317244492988061,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.75,0.0019451280022503093,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.8,0.002089509860238117,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.85,0.002242295384584246,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.9,0.0024619834039895975,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.95,0.002759753723406066,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.975,0.003065903714172265,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.99,0.003520258874334294,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.01,5.151226331284468e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,01
quantile,0.025,5.914235132783503e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,01
quantile,0.05,6.543203862150235e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,01
quantile,0.1,7.284169731080418e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,01
quantile,0.15,7.830390237324149e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,01
quantile,0.2,8.259823329165131e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,01
quantile,0.25,8.599164909819206e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,01
quantile,0.3,8.948311583037965e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,01
quantile,0.35,9.260594050301558e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,01
quantile,0.4,9.562173259563972e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,01
quantile,0.45,9.877924193139771e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,01
quantile,0.5,0.0010187173436779105,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,01
quantile,0.55,0.001053621037161064,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,01
quantile,0.6,0.0010903413390884146,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,01
quantile,0.65,0.0011286417663586709,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,01
quantile,0.7,0.0011539827980511911,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,01
quantile,0.75,0.001195516334432065,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,01
quantile,0.8,0.0012486059059004632,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,01
quantile,0.85,0.0013067055796918167,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,01
quantile,0.9,0.001385532697717833,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,01
quantile,0.95,0.001517505330106081,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,01
quantile,0.975,0.0016507028190791049,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,01
quantile,0.99,0.0018055688075832065,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,01
quantile,0.01,5.208340747382856e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,05
quantile,0.025,5.875898763426878e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,05
quantile,0.05,6.598888207414403e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,05
quantile,0.1,7.893015126125205e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,05
quantile,0.15,8.761727929851634e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,05
quantile,0.2,9.489816946600762e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,05
quantile,0.25,0.0010079898456523376,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,05
quantile,0.3,0.0010683239495858157,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,05
quantile,0.35,0.0011381525955526336,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,05
quantile,0.4,0.0011933161724981983,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,05
quantile,0.45,0.0012425573785725288,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,05
quantile,0.5,0.0013005931701507963,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,05
quantile,0.55,0.0013694678828648815,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,05
quantile,0.6,0.0014285500645081855,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,05
