output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.35,7.653945451265339e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,05
quantile,0.4,8.1260396733162e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,05
quantile,0.45,8.554570889834081e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,05
quantile,0.5,8.968844789001736e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,05
quantile,0.55,9.411405575249484e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,05
quantile,0.6,9.861177199901499e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,05
quantile,0.65,0.0010385034933401574,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,05
quantile,0.7,0.0010945648357787302,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,05
quantile,0.75,0.0011562888219861249,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,05
quantile,0.8,0.0012189566783586813,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,05
quantile,0.85,0.0013075079450979256,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,05
quantile,0.9,0.0014156752965689694,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,05
quantile,0.95,0.001573190931323125,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,05
quantile,0.975,0.0017615987638560132,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,05
quantile,0.99,0.0019716824681908457,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,05
quantile,0.01,3.7412693196609855e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,04
quantile,0.025,4.244574987074917e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,04
quantile,0.05,4.659674632930555e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,04
quantile,0.1,5.136287609039266e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,04
quantile,0.15,5.513651987930479e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,04
quantile,0.2,5.840757940933042e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,04
quantile,0.25,6.103614024297235e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,04
quantile,0.3,6.335188886906195e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,04
quantile,0.35,6.600298109206581e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,04
quantile,0.4,6.835029470045168e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,04
quantile,0.45,7.049963211422802e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,04
quantile,0.5,7.256147025382523e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,04
quantile,0.55,7.475410694429197e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,04
quantile,0.6,7.696792217406897e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,04
quantile,0.65,7.952469821138198e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,04
quantile,0.7,8.178965921183169e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,04
quantile,0.75,8.426479223254822e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,04
quantile,0.8,8.746752908887665e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,04
quantile,0.85,9.097515477625699e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,04
quantile,0.9,9.626749710003612e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,04
quantile,0.95,0.001046822657272935,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,04
quantile,0.975,0.0011160118714829573,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,04
quantile,0.99,0.0012063187300758724,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,04
quantile,0.01,4.137675591644752e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,06
quantile,0.025,4.515341614420869e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,06
quantile,0.05,4.852354556650692e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,06
quantile,0.1,5.283627232810493e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,06
quantile,0.15,5.614579399885873e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,06
quantile,0.2,5.811660455133003e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,06
quantile,0.25,6.015736029064112e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,06
quantile,0.3,6.208471552037925e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,06
quantile,0.35,6.416027161638064e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,06
quantile,0.4,6.585165526395509e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,06
quantile,0.45,6.768101206964406e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,06
quantile,0.5,6.938407206387374e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,06
quantile,0.55,7.099376998821867e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,06
quantile,0.6,7.295905860503424e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,06
quantile,0.65,7.490029940843859e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,06
quantile,0.7,7.690084112167033e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,06
quantile,0.75,7.93998252131475e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,06
quantile,0.8,8.204327250561661e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,06
quantile,0.85,8.546624092560767e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,06
quantile,0.9,8.982782353184174e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,06
quantile,0.95,9.675602438247989e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,06
quantile,0.975,0.0010251328076130856,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,06
quantile,0.99,0.0011008903380005442,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,06
quantile,0.01,5.396152133153177e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,08
quantile,0.025,5.938965005013423e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,08
quantile,0.05,6.571128378563475e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,08
quantile,0.1,7.169703299925007e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,08
quantile,0.15,7.608295834317881e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,08
quantile,0.2,8.082049624913669e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,08
quantile,0.25,8.459896271869214e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,08
quantile,0.3,8.833616016271819e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,08
quantile,0.35,9.155551705421355e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,08
quantile,0.4,9.411365280040474e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,08
quantile,0.45,9.741206741599604e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,08
