reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.01,1
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.025,1
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.05,1
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.1,2
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.15,2
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.2,3
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.25,3
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.3,4
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.35,4
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.4,5
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.45,5
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.5,6
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.55,6
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.6,7
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.65,7
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.7,8
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.75,9
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.8,10
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.85,12
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.9,14
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.95,18
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.975,22
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.99,28
2026-05-02,02,0,wk inc rsv hosp,2026-05-02,quantile,0.01,0
2026-05-02,02,0,wk inc rsv hosp,2026-05-02,quantile,0.025,0.25
2026-05-02,02,0,wk inc rsv hosp,2026-05-02,quantile,0.05,1
2026-05-02,02,0,wk inc rsv hosp,2026-05-02,quantile,0.1,1.25
2026-05-02,02,0,wk inc rsv hosp,2026-05-02,quantile,0.15,1.5
2026-05-02,02,0,wk inc rsv hosp,2026-05-02,quantile,0.2,2
2026-05-02,02,0,wk inc rsv hosp,2026-05-02,quantile,0.25,2.25
2026-05-02,02,0,wk inc rsv hosp,2026-05-02,quantile,0.3,2.5
2026-05-02,02,0,wk inc rsv hosp,2026-05-02,quantile,0.35,2.75
2026-05-02,02,0,wk inc rsv hosp,2026-05-02,quantile,0.4,3.25
2026-05-02,02,0,wk inc rsv hosp,2026-05-02,quantile,0.45,3.25
2026-05-02,02,0,wk inc rsv hosp,2026-05-02,quantile,0.5,3.5
2026-05-02,02,0,wk inc rsv hosp,2026-05-02,quantile,0.55,4
2026-05-02,02,0,wk inc rsv hosp,2026-05-02,quantile,0.6,4
2026-05-02,02,0,wk inc rsv hosp,2026-05-02,quantile,0.65,4.25
2026-05-02,02,0,wk inc rsv hosp,2026-05-02,quantile,0.7,4.5
2026-05-02,02,0,wk inc rsv hosp,2026-05-02,quantile,0.75,5.25
2026-05-02,02,0,wk inc rsv hosp,2026-05-02,quantile,0.8,5.5
2026-05-02,02,0,wk inc rsv hosp,2026-05-02,quantile,0.85,6.5
2026-05-02,02,0,wk inc rsv hosp,2026-05-02,quantile,0.9,7
2026-05-02,02,0,wk inc rsv hosp,2026-05-02,quantile,0.95,8
2026-05-02,02,0,wk inc rsv hosp,2026-05-02,quantile,0.975,9
2026-05-02,02,0,wk inc rsv hosp,2026-05-02,quantile,0.99,10
2026-05-02,02,1,wk inc rsv hosp,2026-05-09,quantile,0.01,0
2026-05-02,02,1,wk inc rsv hosp,2026-05-09,quantile,0.025,0.25
2026-05-02,02,1,wk inc rsv hosp,2026-05-09,quantile,0.05,0.5
2026-05-02,02,1,wk inc rsv hosp,2026-05-09,quantile,0.1,1.25
2026-05-02,02,1,wk inc rsv hosp,2026-05-09,quantile,0.15,1.5
2026-05-02,02,1,wk inc rsv hosp,2026-05-09,quantile,0.2,1.5
2026-05-02,02,1,wk inc rsv hosp,2026-05-09,quantile,0.25,1.75
2026-05-02,02,1,wk inc rsv hosp,2026-05-09,quantile,0.3,2.5
2026-05-02,02,1,wk inc rsv hosp,2026-05-09,quantile,0.35,2.5
2026-05-02,02,1,wk inc rsv hosp,2026-05-09,quantile,0.4,2.75
2026-05-02,02,1,wk inc rsv hosp,2026-05-09,quantile,0.45,2.75
2026-05-02,02,1,wk inc rsv hosp,2026-05-09,quantile,0.5,3.25
2026-05-02,02,1,wk inc rsv hosp,2026-05-09,quantile,0.55,3.5
2026-05-02,02,1,wk inc rsv hosp,2026-05-09,quantile,0.6,3.75
2026-05-02,02,1,wk inc rsv hosp,2026-05-09,quantile,0.65,3.75
2026-05-02,02,1,wk inc rsv hosp,2026-05-09,quantile,0.7,3.8999999999999773
2026-05-02,02,1,wk inc rsv hosp,2026-05-09,quantile,0.75,4.5
2026-05-02,02,1,wk inc rsv hosp,2026-05-09,quantile,0.8,5
2026-05-02,02,1,wk inc rsv hosp,2026-05-09,quantile,0.85,5.5
2026-05-02,02,1,wk inc rsv hosp,2026-05-09,quantile,0.9,6.5
2026-05-02,02,1,wk inc rsv hosp,2026-05-09,quantile,0.95,7.5
2026-05-02,02,1,wk inc rsv hosp,2026-05-09,quantile,0.975,8.5
2026-05-02,02,1,wk inc rsv hosp,2026-05-09,quantile,0.99,10.5
2026-05-02,02,2,wk inc rsv hosp,2026-05-16,quantile,0.01,0
2026-05-02,02,2,wk inc rsv hosp,2026-05-16,quantile,0.025,0
2026-05-02,02,2,wk inc rsv hosp,2026-05-16,quantile,0.05,0
2026-05-02,02,2,wk inc rsv hosp,2026-05-16,quantile,0.1,0.5
2026-05-02,02,2,wk inc rsv hosp,2026-05-16,quantile,0.15,1
2026-05-02,02,2,wk inc rsv hosp,2026-05-16,quantile,0.2,1.5
2026-05-02,02,2,wk inc rsv hosp,2026-05-16,quantile,0.25,1.5
2026-05-02,02,2,wk inc rsv hosp,2026-05-16,quantile,0.3,1.5
2026-05-02,02,2,wk inc rsv hosp,2026-05-16,quantile,0.35,2
2026-05-02,02,2,wk inc rsv hosp,2026-05-16,quantile,0.4,2.5
2026-05-02,02,2,wk inc rsv hosp,2026-05-16,quantile,0.45,2.5
2026-05-02,02,2,wk inc rsv hosp,2026-05-16,quantile,0.5,2.5
2026-05-02,02,2,wk inc rsv hosp,2026-05-16,quantile,0.55,2.5
2026-05-02,02,2,wk inc rsv hosp,2026-05-16,quantile,0.6,2.5
2026-05-02,02,2,wk inc rsv hosp,2026-05-16,quantile,0.65,3.5
2026-05-02,02,2,wk inc rsv hosp,2026-05-16,quantile,0.7,3.5
2026-05-02,02,2,wk inc rsv hosp,2026-05-16,quantile,0.75,4
2026-05-02,02,2,wk inc rsv hosp,2026-05-16,quantile,0.8,4
2026-05-02,02,2,wk inc rsv hosp,2026-05-16,quantile,0.85,4.5
2026-05-02,02,2,wk inc rsv hosp,2026-05-16,quantile,0.9,5.5
2026-05-02,02,2,wk inc rsv hosp,2026-05-16,quantile,0.95,6
2026-05-02,02,2,wk inc rsv hosp,2026-05-16,quantile,0.975,7
2026-05-02,02,2,wk inc rsv hosp,2026-05-16,quantile,0.99,10.5
2026-05-02,02,3,wk inc rsv hosp,2026-05-23,quantile,0.01,0
2026-05-02,02,3,wk inc rsv hosp,2026-05-23,quantile,0.025,0
2026-05-02,02,3,wk inc rsv hosp,2026-05-23,quantile,0.05,0
2026-05-02,02,3,wk inc rsv hosp,2026-05-23,quantile,0.1,0.5
2026-05-02,02,3,wk inc rsv hosp,2026-05-23,quantile,0.15,0.5
2026-05-02,02,3,wk inc rsv hosp,2026-05-23,quantile,0.2,1
2026-05-02,02,3,wk inc rsv hosp,2026-05-23,quantile,0.25,1
2026-05-02,02,3,wk inc rsv hosp,2026-05-23,quantile,0.3,1.5
