output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.35,9.674555187919385e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,04
quantile,0.4,0.0010002134606535442,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,04
quantile,0.45,0.0010288779970271068,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,04
quantile,0.5,0.0010566758798665342,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,04
quantile,0.55,0.0010828557614917132,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,04
quantile,0.6,0.0011129994505565532,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,04
quantile,0.65,0.0011454254858807818,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,04
quantile,0.7,0.0011814878195072502,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,04
quantile,0.75,0.0012164132609960208,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,04
quantile,0.8,0.0012631847194631764,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,04
quantile,0.85,0.0013073911106095371,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,04
quantile,0.9,0.0013727517845577616,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,04
quantile,0.95,0.001464070533995517,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,04
quantile,0.975,0.0015494726366647236,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,04
quantile,0.99,0.0016267236480600113,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,04
quantile,0.01,6.311014679024441e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,06
quantile,0.025,6.897960632496164e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,06
quantile,0.05,7.33335982406642e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,06
quantile,0.1,7.878203596836439e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,06
quantile,0.15,8.188053669075466e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,06
quantile,0.2,8.514957768217433e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,06
quantile,0.25,8.727169417422872e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,06
quantile,0.3,8.955364632852958e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,06
quantile,0.35,9.17840024935787e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,06
quantile,0.4,9.403975286147524e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,06
quantile,0.45,9.590880764004058e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,06
quantile,0.5,9.796704758570302e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,06
quantile,0.55,0.0010023225381561257,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,06
quantile,0.6,0.0010252171590518166,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,06
quantile,0.65,0.0010443807209016332,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,06
quantile,0.7,0.0010675660485457458,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,06
quantile,0.75,0.0010964096298786547,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,06
quantile,0.8,0.0011248605111677241,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,06
quantile,0.85,0.001158091964473361,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,06
quantile,0.9,0.0012011303485835395,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,06
quantile,0.95,0.0012729824364214098,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,06
quantile,0.975,0.0013506821989652542,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,06
quantile,0.99,0.001446395738224649,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,06
quantile,0.01,8.454855056170856e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,08
quantile,0.025,9.626607212498004e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,08
quantile,0.05,0.0010178493501774306,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,08
quantile,0.1,0.001111702784236039,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,08
quantile,0.15,0.0011830673920765389,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,08
quantile,0.2,0.0012336230272616442,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,08
quantile,0.25,0.0012796301955583806,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,08
quantile,0.3,0.0013210824615875149,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,08
quantile,0.35,0.0013613019769332106,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,08
quantile,0.4,0.001395766129254468,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,08
quantile,0.45,0.0014294575105852818,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,08
quantile,0.5,0.0014746965566237846,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,08
quantile,0.55,0.0015123359493496617,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,08
quantile,0.6,0.0015503673225395844,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,08
quantile,0.65,0.0015926144533508922,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,08
quantile,0.7,0.0016337225390655919,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,08
quantile,0.75,0.0016859049621093375,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,08
quantile,0.8,0.0017490516746977343,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,08
quantile,0.85,0.0018198619851707812,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,08
quantile,0.9,0.001909415032047381,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,08
quantile,0.95,0.0020608388306419694,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,08
quantile,0.975,0.0021657163791747856,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,08
quantile,0.99,0.002293433767277786,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,08
quantile,0.01,0,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,11
quantile,0.025,0,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,11
quantile,0.05,0,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,11
quantile,0.1,0,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,11
quantile,0.15,1.5033400960445781e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,11
quantile,0.2,1.5993643073584972e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,11
quantile,0.25,1.6530179022484676e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,11
quantile,0.3,1.7029536823403893e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,11
quantile,0.35,1.7819970772921094e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,11
quantile,0.4,3.087026562237468e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,11
quantile,0.45,3.245304453854854e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,11
quantile,0.5,3.3539242686408326e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,11
quantile,0.55,3.4711223396482636e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,11
quantile,0.6,4.5608967415187014e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,11
quantile,0.65,4.909005703960281e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,11
quantile,0.7,5.13323855571812e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,11
quantile,0.75,5.628402869509672e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,11
quantile,0.8,6.488184752791947e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,11
quantile,0.85,7.107390321545513e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,11
quantile,0.9,8.282224256723309e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,11
quantile,0.95,9.775426061008842e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,11
quantile,0.975,0.0011983062076118707,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,11
quantile,0.99,0.001339338993799767,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,11
quantile,0.01,0.0010661001226368824,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,12
quantile,0.025,0.0011063885527485666,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,12
quantile,0.05,0.0011519224074080482,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,12
quantile,0.1,0.001204883895032727,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,12
quantile,0.15,0.0012434675305095094,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,12
quantile,0.2,0.001276753860102853,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,12
quantile,0.25,0.0013014494146107048,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,12
quantile,0.3,0.0013269401294376398,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,12
quantile,0.35,0.0013473327871782294,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,12
quantile,0.4,0.0013634282823947147,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,12
quantile,0.45,0.0013855971904816362,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,12
quantile,0.5,0.0014080972993846027,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,12
quantile,0.55,0.0014330384919542293,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,12
quantile,0.6,0.0014542344287972147,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,12
quantile,0.65,0.0014759465188154484,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,12
quantile,0.7,0.0015034361257422813,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,12
quantile,0.75,0.001525546113651598,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,12
quantile,0.8,0.0015532375982146092,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,12
quantile,0.85,0.001594715716133183,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,12
quantile,0.9,0.0016424428946989061,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,12
quantile,0.95,0.0017088514847025883,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,12
quantile,0.975,0.0017805684770990416,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,12
quantile,0.99,0.001885228391946987,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,12
quantile,0.01,3.4129175470778994e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,13
quantile,0.025,3.7744024240895076e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,13
quantile,0.05,4.1499461290052267e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,13
quantile,0.1,4.5111747279053774e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,13
quantile,0.15,4.8182151728135144e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,13
quantile,0.2,5.070168193586561e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,13
quantile,0.25,5.287440320043892e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,13
quantile,0.3,5.49349207834099e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,13
quantile,0.35,5.69145009617104e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,13
