output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.01,1.352888003881734e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.025,1.3901876181174927e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.05,2.702440096737698e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.1,2.917696860060262e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.15,4.1517185107855365e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.2,4.304198903858547e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.25,5.493310631322526e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.3,5.614054396738069e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.35,6.666938214692806e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.4,6.92732253314485e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.45,7.106210731729725e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.5,8.139037223449437e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.55,8.390835537428038e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.6,9.30476591762214e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.65,9.788259831160625e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.7,0.0010169120160060852,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.75,0.0011122626946335312,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.8,0.0012128171970429572,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.85,0.00128181678995508,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.9,0.0014438922181099695,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.95,0.001688550648776046,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.975,0.0018911945818489212,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.99,0.002133746146494239,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.01,2.866163073849077e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,01
quantile,0.025,3.404393366320292e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,01
